    Linear | Input Size: torch.Size([1, 128]) | Output Size: torch.Size([1, 512])
    SiLU | Input Size: torch.Size([1, 512]) | Output Size: torch.Size([1, 512])
    Linear | Input Size: torch.Size([1, 512]) | Output Size: torch.Size([1, 512])
            Conv2d | Input Size: torch.Size([1, 2, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
            Dropout2d | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
            BatchNorm2d | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
            LeakyReLU | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
            Conv2d | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
            Dropout2d | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
            BatchNorm2d | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
            LeakyReLU | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 512, 512])
      MaxPool2d | Input Size: torch.Size([1, 32, 512, 512]) | Output Size: torch.Size([1, 32, 256, 256])
            Conv2d | Input Size: torch.Size([1, 32, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
            Dropout2d | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
            BatchNorm2d | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
            LeakyReLU | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
            Conv2d | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
            Dropout2d | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
            BatchNorm2d | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
            LeakyReLU | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 256, 256])
      MaxPool2d | Input Size: torch.Size([1, 64, 256, 256]) | Output Size: torch.Size([1, 64, 128, 128])
            Conv2d | Input Size: torch.Size([1, 64, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
            Dropout2d | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
            BatchNorm2d | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
            LeakyReLU | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
            Conv2d | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
            Dropout2d | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
            BatchNorm2d | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
            LeakyReLU | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 128, 128])
      MaxPool2d | Input Size: torch.Size([1, 128, 128, 128]) | Output Size: torch.Size([1, 128, 64, 64])
